===============================================================================
 KLARIFIKASI TABEL: SPLIT DATABASE ARCHITECTURE
 Tanggal Analisis : 2026-02-16
 Database Asal    : db_master_data (SQL Server, ADAM123\SQLEXPRESS)
 Sumber Analisis  : backend/Models/CosModels.cs, MasterData.cs, Data/FormCosDbContext.cs
===============================================================================


###############################################################################
# GROUP A: STAY IN db_master_data (No Prefix Change)
###############################################################################
# Kriteria: Tabel TANPA prefix "cos_". Ini adalah tabel master data umum
#           yang digunakan oleh banyak aplikasi, bukan hanya COS.
#           Tidak ada rename, tetap di database asli.
#
# Format: [C# Model Class] -> [Nama Tabel SQL] | [Deskripsi]
###############################################################################

TOTAL GROUP C: 5 tabel


###############################################################################
# SUMMARY
###############################################################################
#
#  DATABASE              | JUMLAH TABEL | KETERANGAN
# -----------------------+--------------+------------------------------------
#  db_master_data        | 19           | Tabel umum (tlkp_*, VIEW_*) — tidak berubah
#  db_cos_checksheet     | 13           | 8 master (tlkp_cos_*) + 5 transaksi (t_cos_*)
# -----------------------+--------------+------------------------------------
#  TOTAL                 | 32           |
#
###############################################################################


###############################################################################
# RELATIONSHIP MAP (Foreign Keys lintas tabel)
###############################################################################
# Relasi yang HARUS diperhatikan saat split karena cross-database reference:
#
# >> WITHIN db_cos_checksheet (aman, dalam 1 DB):
#   - tlkp_cos_check_items.form_id        -> tlkp_cos_form_definitions.id
#   - tlkp_cos_check_sub_rows.check_item_id -> tlkp_cos_check_items.id
#   - tlkp_cos_battery_types.form_id       -> tlkp_cos_form_definitions.id
#   - tlkp_cos_battery_standards.battery_type_id -> tlkp_cos_battery_types.id
#   - tlkp_cos_problem_columns.form_id     -> tlkp_cos_form_definitions.id
#   - tlkp_cos_signature_slots.form_id     -> tlkp_cos_form_definitions.id
#   - t_cos_submissions.form_id            -> tlkp_cos_form_definitions.id
#   - t_cos_check_values.submission_id     -> t_cos_submissions.id
#   - t_cos_problems.submission_id         -> t_cos_submissions.id
#   - t_cos_signature_entries.submission_id -> t_cos_submissions.id
#   - t_cos_approval_attachments.submission_id -> t_cos_submissions.id
#
# >> CROSS-DATABASE REFERENCE (perlu strategi khusus):
#   - t_cos_submissions.line_id            -> db_master_data.tlkp_line.line_id
#   - t_cos_submissions.shift_id           -> db_master_data.tlkp_shift.shift_id
#   - t_cos_submissions.operator_emp_id    -> db_master_data.VIEW_DATAAUTH.emp_id
#   - t_cos_submissions.leader_emp_id      -> db_master_data.VIEW_DATAAUTH.emp_id
#   - t_cos_submissions.kasubsie_emp_id    -> db_master_data.VIEW_DATAAUTH.emp_id
#   - t_cos_submissions.kasie_emp_id       -> db_master_data.VIEW_DATAAUTH.emp_id
#   - tlkp_cos_battery_types.kat_id        -> db_master_data.tlkp_kategori.kat_id
#   - tlkp_cos_employee_signatures.emp_id  -> db_master_data.VIEW_DATAAUTH.emp_id
#
# CATATAN: Cross-database FK tidak bisa di-enforce oleh SQL Server secara native.
#          Harus dihandle di APPLICATION LEVEL (EF Core / controller logic).
#
###############################################################################


###############################################################################
# NOTES & PERTIMBANGAN
###############################################################################
#
# 1. CosEmployeeSignature dimasukkan GROUP B (master) karena:
#    - Data ini persistent per karyawan, bukan per submission
#    - Sifatnya seperti "profil" tanda tangan, bukan transaksi
#    - Jarang berubah (hanya update ketika employee mengubah TTD)
#
# 2. CosBatteryType dan CosBatteryStandard dimasukkan GROUP B karena:
#    - Meskipun ada BatteryTypeSyncService yang sync dari master data,
#      data ini tetap bersifat referensi/lookup untuk COS form
#    - Data jarang berubah (hanya saat ada tipe baterai baru)
#
# 3. Seed data di FormCosDbContext.cs perlu dipecah:
#    - Seed untuk GROUP A tetap di context db_master_data
#    - Seed untuk GROUP B & C pindah ke context db_cos_checksheet
#
# 4. FormCosDbContext perlu dipecah menjadi 2 DbContext:
#    - MasterDataDbContext -> db_master_data (GROUP A)
#    - CosChecksheetDbContext -> db_cos_checksheet (GROUP B + C)
#
###############################################################################
